Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
26,Rangareddy,25296.14,10333.01,6516.52,22257.14,64402.81,6023.26,58379.54,31825.78,72.04,3253.01,35151.89,5005.21,23417.95,60.21
27,Sangareddy,30120.96,4784.87,4603.03,5541.29,45050.15,4362.02,40688.18,15784.46,445.86,2120.32,18350.68,2789.63,22619.44,45.1
28,Siddipet,21209.15,14673.61,3793.52,22761.36,62437.64,5690.42,56747.22,37494.24,52.27,1733.77,39280.47,1974.02,17589.73,69.22
29,Suryapet,19992.94,67477.46,1487.6,55884.52,144842.52,14414.79,130427.75,22789.42,39.84,1935.31,24764.6,2266.33,105648.25,18.99
30,Vikarabad,19266.53,12604.03,5283.38,16300.34,53454.28,5345.66,48108.68,17467.58,8.4,452.3,17928.39,1683.5,29800.63,37.27
31,Wanaparthy,8718.94,26931.34,2002.95,20419.24,58072.47,5763.85,52308.53,20740.8,7.7,232.73,20981.2,1173.11,30495.7,40.11
32,Warangal,11658.59,23561.9,1663.92,14993.06,51877.47,5043.31,46834.16,24828.96,322.56,885.42,26036.94,1410.81,20952.04,55.59
33,Yadadri Bhuvanagiri,20399.43,31159.98,4488.13,33084.47,89132.01,8703.54,80428.47,34566.66,1412.78,3235.37,39214.77,3529.33,42496.99,48.76
,Total (Ham),719129.75,665628.45,98012.72,644180.3,2127153.53,202078.65,1925074.58,725780.93,15441.57,59682.02,800906,381184.16,1132576.54,41.6
,Total (Bcm),7.19,6.66,0.98,6.44,21.27,2.02,19.25,7.26,0.15,0.6,8.01,3.81,11.33,41.6
